# time (s),altitude (m),velocity (m/s),acceleration (m/s^2),thrust (N),mass (kg),Mach,air density (kg/m^3)
2.450000000000000000e+01,7.337120308449510048e+03,4.843833861437830706e+02,2.127191887718589314e+01,7.013338996627798224e+03,1.565328539782962594e+02,1.538268797008021771e+00,5.765370542129117926e-01
2.475000000000000000e+01,7.458884145834451374e+03,4.897447555376589889e+02,2.144547757550369127e+01,7.024257392932631774e+03,1.558767332669167729e+02,1.557869737655672715e+00,5.686311763389597651e-01
2.500000000000000000e+01,7.581993883010601166e+03,4.951511255716822575e+02,2.162548013609299247e+01,7.035146863809875867e+03,1.552206125555372864e+02,1.577706878079528252e+00,5.607222617666502984e-01
2.525000000000000000e+01,7.706460972590487472e+03,5.006041226343400012e+02,2.181198825063103541e+01,7.046004980585866178e+03,1.545644918441578284e+02,1.597788224042576921e+00,5.528117622769324058e-01
2.550000000000000000e+01,7.832297279106358474e+03,5.061054250819217941e+02,2.200520979032725322e+01,7.056829335937547512e+03,1.539083711327783703e+02,1.618121949230609369e+00,5.449011264231371499e-01
2.575000000000000000e+01,7.959515091611063326e+03,5.116567463584613051e+02,2.220528510615801210e+01,7.067617543191722689e+03,1.532522504213988839e+02,1.638716518613632322e+00,5.369917998515062463e-01
2.600000000000000000e+01,8.088127131934023055e+03,5.172598332618196082e+02,2.241234761343303106e+01,7.078367236145172683e+03,1.525961297100193974e+02,1.659580640089715731e+00,5.290852253498810054e-01
2.625000000000000000e+01,8.218146562557994912e+03,5.229163415982583274e+02,2.262603334575506508e+01,7.089076069262102465e+03,1.519400089986399394e+02,1.680723264956177632e+00,5.211828432022398427e-01
2.650000000000000000e+01,8.349586832717333891e+03,5.286268727989123590e+02,2.284212480261614431e+01,7.099741717461985900e+03,1.512838882872604813e+02,1.702153189473692985e+00,5.132860915870641749e-01
2.675000000000000000e+01,8.482461634561766914e+03,5.343930433498248931e+02,2.306468220365002608e+01,7.110361875860053260e+03,1.506277675758809949e+02,1.723875912286480849e+00,5.053964166470317210e-01
2.700000000000000000e+01,8.616785067547962171e+03,5.402165341653783344e+02,2.329396326221390368e+01,7.120934246584839457e+03,1.499716468645015084e+02,1.745900367838336020e+00,4.975152753941247119e-01
2.725000000000000000e+01,8.752571693846701237e+03,5.460992128412143529e+02,2.353071470334425541e+01,7.131456535443570829e+03,1.493155261531220503e+02,1.768235854304108789e+00,4.896441262765127700e-01
2.750000000000000000e+01,8.889836471389797225e+03,5.520420542771578312e+02,2.377136574377368561e+01,7.141926465065805132e+03,1.486594054417425923e+02,1.790892443833513203e+00,4.817844266965409239e-01
2.775000000000000000e+01,9.028594584152411699e+03,5.580461901262112860e+02,2.401654339621364898e+01,7.152341778581159815e+03,1.480032847303631058e+02,1.813877446552176309e+00,4.739376376961286219e-01
2.800000000000000000e+01,9.168861515941716789e+03,5.641132268924714026e+02,2.426814706504026731e+01,7.162700233783501972e+03,1.473471640189836194e+02,1.837198839125437244e+00,4.661052340941829741e-01
2.825000000000000000e+01,9.310653230455480298e+03,5.702451014924896526e+02,2.452749840007286153e+01,7.172999590288534819e+03,1.466910433076041613e+02,1.860866326842498086e+00,4.582887003818890137e-01
2.850000000000000000e+01,9.453986184543549825e+03,5.764437191636577609e+02,2.479447068467230864e+01,7.183237615632949201e+03,1.460349225962247033e+02,1.884890893106691667e+00,4.504895210999245170e-01
2.875000000000000000e+01,9.598877192234966060e+03,5.827098737101730421e+02,2.506461818606127778e+01,7.193412098444931871e+03,1.453788018848452168e+02,1.909283619185441205e+00,4.427091809603844186e-01
2.900000000000000000e+01,9.745343330023413728e+03,5.890451909449402592e+02,2.534126893906870137e+01,7.203520848686424870e+03,1.447226811734657304e+02,1.934052103846473303e+00,4.349491729359011849e-01
2.925000000000000000e+01,9.893402084493229268e+03,5.954514859174812500e+02,2.562517989016409459e+01,7.213561687617808275e+03,1.440665604620862723e+02,1.959206894079155825e+00,4.272110035610446332e-01
2.950000000000000000e+01,1.004307145951501298e+04,6.019306220390958515e+02,2.591654448645823194e+01,7.223532441617120639e+03,1.434104397507068143e+02,1.984759383626056417e+00,4.194961852463877650e-01
2.975000000000000000e+01,1.019436967803685911e+04,6.084823709065132107e+02,2.620699546966928040e+01,7.233430952815476303e+03,1.427543190393273278e+02,2.010721361256858408e+00,4.118062312616851406e-01
3.000000000000000000e+01,1.034731507139468158e+04,6.151083782536989020e+02,2.650402938874294634e+01,7.243255086092966849e+03,1.420981983279478413e+02,2.037097848524204835e+00,4.041426715369880185e-01
3.025000000000000000e+01,1.050192638534661819e+04,6.218104345277669154e+02,2.680822509627195771e+01,7.253002709497583055e+03,1.414420776165683833e+02,2.063900334559248151e+00,3.965070578283441116e-01
3.050000000000000000e+01,1.065822289358720991e+04,6.285904855719585385e+02,2.712020417676636086e+01,7.262671688648136296e+03,1.407859569051889252e+02,2.091141048046612383e+00,3.889009480073271074e-01
